date,tweet,word_count,tokens,tokens_count
2019-07-14,That’s committmemt I commend it. That make sense. I feel sorry tbh. Chinese good. ..... hOW? UM?!?!?!! I didn’t expect perfection gay I HERE. FOR. IT.,26,"['That’s', 'committmemt', 'I', 'commend', 'it.', 'That', 'make', 'sense.', 'I', 'feel', 'sorry', 'tbh.', 'Chinese', 'good.', '.....', 'hOW?', 'UM?!?!?!!', 'I', 'didn’t', 'expect', 'perfection', 'gay', 'I', 'HERE.', 'FOR.', 'IT.']",26
2019-07-15,YOU HAVE BEEN BLESSED,4,"['YOU', 'HAVE', 'BEEN', 'BLESSED']",4
2019-07-16,Thank youuu 😊😊😊 😊😊😊😊,4,"['Thank', 'youuu', '😊😊😊', '😊😊😊😊']",4
2019-07-17,So I injured tit heal I hanging shirt like Amazon warrior.,11,"['So', 'I', 'injured', 'tit', 'heal', 'I', 'hanging', 'shirt', 'like', 'Amazon', 'warrior.']",11
2019-07-19,"Thank friend 💛💛 I wanted relax, no, bc I’m fucking idiot I went wrong theater won’t make movie ticket refundable.",20,"['Thank', 'friend', '💛💛', 'I', 'wanted', 'relax,', 'no,', 'bc', 'I’m', 'fucking', 'idiot', 'I', 'went', 'wrong', 'theater', 'won’t', 'make', 'movie', 'ticket', 'refundable.']",20
2019-07-20,Seems like you’re mixed day. I love it. Dressed heel jewelry look right! You’re kinda hero.,16,"['Seems', 'like', 'you’re', 'mixed', 'day.', 'I', 'love', 'it.', 'Dressed', 'heel', 'jewelry', 'look', 'right!', 'You’re', 'kinda', 'hero.']",16
2019-07-21,"Therapist: And feel loss control?Me, buried mound books: ...Therapist: ooh boy. One first crush Yas bitch gotta!!! It’s thirty fucking dollars, live best life! Omg look great!!!!!! 😬 yeah that’s great feeling.",32,"['Therapist:', 'And', 'feel', 'loss', 'control?Me,', 'buried', 'mound', 'books:', '...Therapist:', 'ooh', 'boy.', 'One', 'first', 'crush', 'Yas', 'bitch', 'gotta!!!', 'It’s', 'thirty', 'fucking', 'dollars,', 'live', 'best', 'life!', 'Omg', 'look', 'great!!!!!!', '😬', 'yeah', 'that’s', 'great', 'feeling.']",32
2019-07-23,My god. She transcended. Cza. I bet I’m fancy. Fucking THANK YOU I’m this.,14,"['My', 'god.', 'She', 'transcended.', 'Cza.', 'I', 'bet', 'I’m', 'fancy.', 'Fucking', 'THANK', 'YOU', 'I’m', 'this.']",14
2019-07-24,I.... know make sense The BOW 🤩🤩,7,"['I....', 'know', 'make', 'sense', 'The', 'BOW', '🤩🤩']",7
2019-07-26,I like “ha oh yeah right” retweeted ARE PEOPLE REALLY THIS GROSS???? In case anyone interested: Eph: @SiwelP Fet: @TheAtticus Nora: @Addison_Peacock Sardu: @CummingsDG I’m reading The Strain series picturing character voice voice actor @NosleepPodcast He dope baker. I hope beech! I bitch weren’t grateful enough. So I said fuck em.,51,"['I', 'like', '“ha', 'oh', 'yeah', 'right”', 'retweeted', 'ARE', 'PEOPLE', 'REALLY', 'THIS', 'GROSS????', 'In', 'case', 'anyone', 'interested:', 'Eph:', '@SiwelP', 'Fet:', '@TheAtticus', 'Nora:', '@Addison_Peacock', 'Sardu:', '@CummingsDG', 'I’m', 'reading', 'The', 'Strain', 'series', 'picturing', 'character', 'voice', 'voice', 'actor', '@NosleepPodcast', 'He', 'dope', 'baker.', 'I', 'hope', 'beech!', 'I', 'bitch', 'weren’t', 'grateful', 'enough.', 'So', 'I', 'said', 'fuck', 'em.']",51
2019-07-27,Being nigh translucent I tell you: like painful molting. It’s iconic,11,"['Being', 'nigh', 'translucent', 'I', 'tell', 'you:', 'like', 'painful', 'molting.', 'It’s', 'iconic']",11
2019-07-29,Season Four: The Return Barb.,5,"['Season', 'Four:', 'The', 'Return', 'Barb.']",5
2019-07-31,,1,[''],1
2019-08-01,This make lot sense Wanna dm link? 👀👀,8,"['This', 'make', 'lot', 'sense', 'Wanna', 'dm', 'link?', '👀👀']",8
